lancersTaskId,lancersResultId,lancersNickname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
LTI004017242,LRI029914370,shoun,2,1,1,4,2,2,1,1,1,2,2,1,2,2,2,5,1,2,2,1,2,2,1,1,2,2,1,2,2,1,2,5,1,2,1,1,1,2,1,1,1,1,1,5,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,4,1,2,2,2,1,2,2,4,2,1,1,5,2,1,2,5,2,1,1,2
LTI004017242,LRI029914372,AaaToZzz,1,1,1,4,2,1,1,3,1,2,2,3,2,1,2,4,1,2,2,3,2,1,1,3,2,1,1,3,1,1,1,4,1,1,1,3,1,1,1,3,1,1,1,4,1,1,2,3,1,1,1,3,1,1,2,3,1,1,1,3,1,1,1,1,1,1,2,3,1,2,2,3,2,1,1,3,1,1,2,4,2,1,1,4
LTI004017242,LRI029914377,Kaocang46,1,2,2,3,2,1,1,2,1,2,2,2,1,1,2,3,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,3,1,2,1,1,1,2,1,1,1,2,2,3,2,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,1,1,3,2,1,1,2,1,2,2,3,1,2,2,2
LTI004017242,LRI029914382,hona15,1,1,1,4,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,2,2,2,1,3,2,2,1,3,2,1,2,5,1,1,1,2,1,2,1,3,2,1,1,5,1,1,2,3,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,3,1,2,2,3,1,2,2,4,2,1,1,4,1,1,2,5,2,1,1,4
LTI004017242,LRI029914390,lc02102,2,1,1,4,2,2,1,2,2,2,2,2,2,2,1,4,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,4,1,2,1,2,1,2,1,3,2,1,1,5,1,2,2,1,1,2,1,4,1,1,2,1,1,1,1,1,1,2,2,3,2,2,2,2,1,2,2,2,2,2,1,2,2,1,1,4,2,1,1,2
LTI004017242,LRI029914395,koral70,2,1,1,1,2,2,1,2,2,2,2,5,2,2,2,4,1,2,2,5,2,2,1,1,2,2,1,2,2,1,2,2,1,2,1,4,1,2,1,5,1,1,2,1,2,1,2,5,1,2,1,4,1,1,2,4,1,1,1,5,1,2,2,4,1,2,2,3,2,2,2,1,2,1,1,2,1,1,2,3,2,1,1,4
LTI004017242,LRI029914397,st001,1,2,1,3,2,1,1,3,1,2,2,2,2,1,2,3,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,5,1,1,1,2,1,2,1,1,1,2,2,5,2,1,2,2,1,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,2,2,3,2,2,2,2,2,1,1,3,2,2,1,5,2,2,1,4
LTI004017242,LRI029914398,tomopara,2,1,1,3,2,2,1,1,2,2,2,3,2,2,2,4,1,2,2,3,2,2,1,2,2,2,1,2,2,1,2,5,1,2,1,1,1,2,1,3,2,1,1,5,1,1,2,3,1,2,1,3,1,1,2,3,1,1,1,2,1,2,1,1,1,2,2,2,1,2,2,3,2,2,1,4,1,1,1,5,2,1,1,4
LTI004017242,LRI029914399,tidy-blues,1,1,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,1,1,2,1,2,3,1,1,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,2,1,1,2,1,2,1,1,2,1,1,1,2,2,3,2,2,2,2,2,2,2,1,2,1,1,4,1,1,2,3,2,2,1,1
LTI004017242,LRI029914401,iayk,1,1,2,1,2,1,1,3,1,2,2,1,2,1,2,5,1,2,2,4,2,2,1,2,2,2,2,5,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,4,1,2,2,2,2,1,2,2,1,1,1,3,2,1,1,4
LTI004017242,LRI029914270,ripmaykoro05one,2,1,1,5,2,2,1,2,2,2,2,1,2,2,1,4,1,2,2,1,2,2,1,1,2,2,1,1,2,1,1,5,1,2,1,1,1,2,1,1,2,1,1,5,1,1,2,1,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,3,2,2,1,5,2,1,1,5,2,1,1,5
LTI004017242,LRI029914272,lanking,1,2,1,4,2,1,1,2,1,2,2,2,2,2,2,4,2,2,2,1,2,2,1,1,2,2,1,1,2,2,1,5,1,2,1,2,1,2,1,2,1,2,1,5,2,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,2,1,2,2,2,2,1,2,2,3,2,1,1,3,2,1,1,5,2,2,1,2
LTI004017242,LRI029914273,takahiro0655,1,1,1,5,2,2,1,3,1,2,2,1,2,1,2,5,1,2,2,3,2,2,1,2,2,2,1,3,2,1,2,5,1,2,2,3,1,2,1,2,2,2,1,5,1,1,2,1,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,2,1,2,2,3,1,2,2,2,2,1,1,5,2,1,2,5,1,2,1,5
LTI004017242,LRI029914274,sahopic29,2,1,2,3,2,1,1,2,1,2,2,1,2,1,2,4,1,2,2,2,2,1,1,2,2,1,1,2,2,1,2,4,1,2,1,2,1,2,1,2,2,1,1,5,2,1,2,2,1,2,1,2,2,1,2,3,1,2,1,2,1,2,2,3,1,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,2,1,1,2
LTI004017242,LRI029914275,kos12,1,1,2,4,2,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,2,4,1,2,1,2,1,2,1,2,1,2,1,4,1,1,2,2,1,2,1,2,1,1,2,1,1,2,1,1,1,2,2,3,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,4,2,1,1,1
LTI004017242,LRI029914276,pureone109,1,1,1,1,2,1,1,2,1,2,2,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,2,1,2,2,1,2,1,1,2,1,1,1,2,2,1,1,1
LTI004017242,LRI029914278,tanpopo_yellow,1,1,1,4,2,1,1,2,1,2,2,2,2,1,2,4,1,2,2,2,2,2,1,2,2,2,1,2,2,1,1,2,1,1,1,3,1,2,1,2,1,1,1,5,1,1,2,2,1,2,1,3,1,1,2,2,1,1,1,2,1,2,2,3,2,2,2,2,1,2,2,5,2,1,2,4,2,1,2,5,2,1,1,4
LTI004017242,LRI029914280,recluse,1,1,1,2,2,1,1,2,1,2,2,1,2,1,2,4,1,2,2,1,2,2,1,1,2,2,1,1,2,1,2,5,1,2,1,4,1,2,1,3,1,2,1,5,1,1,2,2,1,2,1,3,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,3,1,2,2,2,1,1,2,5,1,1,2,5,2,1,1,4
LTI004017242,LRI029914281,kisaran455,2,1,1,4,2,2,1,2,1,2,2,1,2,1,2,5,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,3,1,2,2,4,1,2,1,3,1,1,2,5,1,1,2,1,1,2,2,4,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2
LTI004017242,LRI029914282,mabu3,2,1,1,4,2,2,1,3,2,2,2,2,2,2,2,4,2,2,2,3,2,2,1,2,2,2,1,3,2,1,2,5,1,2,1,2,1,2,1,2,2,2,1,5,2,1,2,2,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,1,2,2,4,2,2,2,4,2,2,1,5,2,2,1,5,2,2,1,4
LTI004017242,LRI029914283,asokoha,2,1,2,5,2,2,1,2,2,2,2,2,2,2,2,5,1,2,2,2,2,2,1,2,2,2,1,3,2,1,2,5,1,2,1,2,1,2,1,2,2,1,2,5,1,1,2,2,1,2,1,2,1,1,2,2,1,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,1,2,1,4,1,1,2,5,2,1,1,5
LTI004017242,LRI029914284,amable,1,1,1,5,2,1,1,3,1,2,2,2,2,1,2,4,1,2,2,2,2,2,1,3,2,2,1,3,2,1,1,5,1,2,1,1,1,2,1,2,1,2,2,5,1,1,2,4,1,2,1,2,2,1,2,3,1,2,1,3,1,2,2,1,1,2,2,3,1,2,2,4,2,2,1,4,1,2,2,5,2,1,1,5
LTI004017242,LRI029914285,chihiro999,1,1,1,4,2,1,1,2,1,2,2,1,1,1,2,4,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,5,1,1,1,3,1,1,1,1,1,2,1,5,1,1,2,1,1,1,1,2,2,1,2,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,5,2,1,1,2
LTI004017242,LRI029914287,cuckoo,1,1,1,2,2,1,1,3,1,2,2,1,1,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,5,1,1,1,3,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,3,1,2,2,2,1,2,1,4,2,1,2,4,1,1,2,5,2,1,1,4
LTI004017242,LRI029914288,kuruupu,2,2,2,4,2,2,1,1,2,2,2,2,2,2,2,5,1,2,2,2,2,2,1,2,2,2,1,1,2,1,2,4,1,2,1,2,1,2,1,2,1,2,1,5,1,1,2,3,1,2,1,2,2,1,2,2,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,4,2,2,1,4,2,2,2,3,2,1,1,4
